symbol,date,open,high,low,close,volume,nfbs,previous_close
GLO,10/08/2012,1127,1127,1119,1122,72775,-9008000,0
GLO,10/09/2012,1122,1134,1122,1130,5235,-417905,1122
GLO,10/10/2012,1131,1131,1119,1121,108550,-13023695,1130
GLO,10/11/2012,1125,1130,1120,1125,11450,1566795,1121
GLO,10/12/2012,1125,1135,1124,1130,26915,1840210,1125
GLO,10/15/2012,1130,1130,1125,1126,69910,-2830755,1130
GLO,10/16/2012,1130,1137,1127,1127,88155,2117310,1126
GLO,10/17/2012,1127,1129,1120,1127,63870,44034720,1127
GLO,10/18/2012,1126,1138,1126,1138,37755,11586025,1127
GLO,10/19/2012,1135,1162,1135,1157,95770,51532330,1138
GLO,10/22/2012,1153,1153,1142,1148,115585,30286705,1157
GLO,10/23/2012,1148,1158,1148,1152,21945,10748245,1148
GLO,10/24/2012,1148,1150,1140,1149,24560,1905770,1152
GLO,10/25/2012,1149,1160,1149,1160,7925,5051790,1149
GLO,10/29/2012,1135,1160,1135,1140,40460,1605295,1160
GLO,10/30/2012,1140,1150,1140,1150,57890,5506645,1140
GLO,10/31/2012,1151,1151,1137,1140,99595,-6045770,1150
GLO,11/05/2012,1140,1151,1140,1144,102190,-1082590,1140
GLO,11/06/2012,1145,1152,1145,1149,77045,21358885,1144
GLO,11/07/2012,1156,1156,1150,1153,51705,2147195,1149
GLO,11/08/2012,1149,1151,1142,1145,74745,-2633350,1153
GLO,11/09/2012,1145,1145,1143,1143,88590,10537985,1145
GLO,11/12/2012,1143,1143,1127,1127,63965,8125515,1143
GLO,11/13/2012,1127,1130,1119,1125,57490,-5868740,1127
GLO,11/14/2012,1121,1136,1121,1134,60040,-12607815,1125
GLO,11/15/2012,1134,1134,1127,1128,33620,8920355,1134
GLO,11/16/2012,1128,1150,1128,1150,18425,3633355,1128
GLO,11/19/2012,1132,1150,1120,1150,40870,-12044375,1150
GLO,11/20/2012,1148,1148,1131,1132,33880,-24971205,1150
GLO,11/21/2012,1132,1137,1131,1131,39950,-11516490,1132
GLO,11/22/2012,1131,1144,1131,1139,21470,-7672715,1131
GLO,11/23/2012,1139,1145,1135,1135,14945,-1547490,1139
GLO,11/26/2012,1140,1144,1133,1135,65420,-27019760,1135
GLO,11/27/2012,1137,1140,1128,1128,92550,-23178795,1135
GLO,11/28/2012,1128,1137,1128,1129,74605,-41822695,1128
GLO,11/29/2012,1129,1132,1120,1125,53510,-21626135,1129
GLO,12/03/2012,1125,1126,1118,1120,75955,-20521960,1125
GLO,12/04/2012,1121,1121,1110,1110,72945,-16861665,1120
GLO,12/05/2012,1110,1121,1110,1121,30125,-4016935,1110
GLO,12/06/2012,1138,1154,1120,1154,90160,-16138065,1121
GLO,12/07/2012,1154,1160,1135,1142,117635,-8311500,1154
GLO,12/10/2012,1140,1140,1115,1125,27940,-10370345,1142
GLO,12/11/2012,1148,1155,1140,1154,48555,11166895,1125
GLO,12/12/2012,1147,1153,1140,1147,93400,8952065,1154
GLO,12/13/2012,1147,1147,1130,1130,40415,-8816870,1147
GLO,12/14/2012,1130,1135,1106,1109,79225,-49636875,1130
GLO,12/17/2012,1107,1118,1098,1100,187020,-32540080,1109
GLO,12/18/2012,1099,1100,1097,1098,105395,-10658075,1100
GLO,12/19/2012,1106,1108,1105,1106,50180,-23283255,1098
GLO,12/20/2012,1106,1110,1098,1098,136455,-48316545,1106
GLO,12/21/2012,1080,1095,1078,1078,189735,-140527225,1098
GLO,12/26/2012,1090,1109,1081,1109,10370,-3462670,1078
GLO,12/27/2012,1109,1109,1093,1109,32855,-8990775,1109
GLO,12/28/2012,1114,1114,1091,1092,126370,-32871025,1109
GLO,01/02/2013,1092,1093,1089,1089,164760,-6739900,1092
GLO,01/03/2013,1092,1101,1092,1096,245365,-157273710,1089
GLO,01/04/2013,1098,1098,1065,1078,210400,-107671430,1096
GLO,01/07/2013,1078,1082,1074,1078,193055,-53258615,1078
GLO,01/08/2013,1078,1080,1065,1070,70400,-52117210,1078
GLO,01/09/2013,1070,1075,1068,1072,157235,-41537385,1070
GLO,01/10/2013,1075,1076,1058,1066,249360,-73807355,1072
GLO,01/11/2013,1066,1080,1066,1073,207845,-9834290,1066
GLO,01/14/2013,1086,1094,1084,1090,217675,-91478285,1073
GLO,01/15/2013,1090,1100,1088,1095,122050,-36610600,1090
GLO,01/16/2013,1095,1095,1089,1092,381980,-168216705,1095
GLO,01/17/2013,1090,1134,1090,1134,60105,14715660,1092
GLO,01/18/2013,1144,1202,1144,1187,164455,97631900,1134
GLO,01/21/2013,1180,1195,1175,1178,44845,25628260,1187
GLO,01/22/2013,1200,1200,1158,1160,101340,25338510,1178
GLO,01/23/2013,1165,1183,1164,1165,71415,13022285,1160
GLO,01/24/2013,1160,1165,1154,1158,75510,5049995,1165
GLO,01/25/2013,1158,1176,1158,1168,61730,-9240975,1158
GLO,01/28/2013,1168,1177,1166,1169,129070,-22603410,1168
GLO,01/29/2013,1160,1174,1160,1168,106715,3657690,1169
GLO,01/30/2013,1175,1175,1160,1160,157400,-13675315,1168
GLO,01/31/2013,1158,1170,1074,1074,171145,1745565,1160
GLO,02/01/2013,1140,1185,1140,1185,177260,150351075,1074
GLO,02/04/2013,1181,1187,1179,1187,143500,11102445,1185
GLO,02/05/2013,1190,1196,1185,1190,122570,-1652685,1187
GLO,02/06/2013,1190,1192,1176,1176,52115,-30467510,1190
GLO,02/07/2013,1178,1190,1168,1187,58980,-4714020,1176
GLO,02/08/2013,1187,1206,1180,1197,157030,60806390,1187
GLO,02/11/2013,1197,1202,1185,1188,175890,-13153960,1197
GLO,02/12/2013,1189,1202,1182,1202,49555,12220830,1188
GLO,02/13/2013,1202,1215,1200,1209,78545,28687005,1202
GLO,02/14/2013,1175,1180,1170,1170,87915,-3169065,1209
GLO,02/15/2013,1165,1165,1155,1160,54090,-19969670,1170
GLO,02/18/2013,1161,1170,1117,1119,85595,-70010025,1160
GLO,02/19/2013,1120,1130,1120,1122,31550,-26568705,1119
GLO,02/20/2013,1128,1130,1115,1120,51005,-14216580,1122
GLO,02/21/2013,1120,1130,1117,1120,53045,-10485415,1120
GLO,02/22/2013,1125,1125,1118,1122,76285,-15968115,1120
GLO,02/25/2013,1113,1131,1113,1131,118370,-3387215,1122
GLO,02/26/2013,1128,1128,1117,1123,43175,-12437890,1131
GLO,02/27/2013,1130,1130,1122,1125,263485,252370180,1123
GLO,02/28/2013,1125,1135,1121,1125,101750,15968595,1125
GLO,03/01/2013,1125,1145,1121,1145,23320,-2919065,1125
GLO,03/04/2013,1145,1160,1127,1160,20560,-722040,1145
GLO,03/05/2013,1135,1178,1135,1178,427860,454511990,1160
GLO,03/06/2013,1181,1182,1174,1178,40240,19045405,1178
GLO,03/07/2013,1178,1180,1170,1179,147640,112710840,1178
GLO,03/08/2013,1180,1190,1180,1184,230285,94968940,1179
GLO,03/11/2013,1184,1190,1178,1178,65210,33169060,1184
