symbol,date,open,high,low,close,volume,nfbs,previous_close
SECB,10/08/2012,164,164,162.2,162.9,521810,-12209390,0
SECB,10/09/2012,162.9,162.9,159.3,160,1242480,-19724119,162.9
SECB,10/10/2012,160,164.3,159.9,164,1090050,32897953,160
SECB,10/11/2012,161,164.1,161,164,354920,15954920,164
SECB,10/12/2012,162,163.5,162,162.4,382470,1168878,164
SECB,10/15/2012,162,162,160,161.1,479670,-17106410,162.4
SECB,10/16/2012,163,167.1,163,164.5,643140,60482969,161.1
SECB,10/17/2012,167,167.1,166,166.7,690750,94682043,164.5
SECB,10/18/2012,167,167,166,166.9,710710,101877636,166.7
SECB,10/19/2012,167,167.3,166.7,166.9,511020,63954659,166.9
SECB,10/22/2012,167,167,165.6,165.9,329990,16786433,166.9
SECB,10/23/2012,165,166.9,165,166.6,282420,14046985,165.9
SECB,10/24/2012,167,167.2,162,163.5,812920,11846448,166.6
SECB,10/25/2012,166,166,163,163.4,216300,13485885,163.5
SECB,10/29/2012,163.4,163.5,161.9,161.9,557720,-7402807,163.4
SECB,10/30/2012,161.8,161.8,160,161,460510,-27469090,161.9
SECB,10/31/2012,161,162.3,161,161.9,181110,4197385,161
SECB,11/05/2012,161.9,166,161.9,165.4,610300,34674067,161.9
SECB,11/06/2012,165.4,168,164.2,166,1114950,-396911,165.4
SECB,11/07/2012,166,167,166,166,558600,-12864575,166
SECB,11/08/2012,166.4,166.4,161.8,161.8,644560,-43257554,166
SECB,11/09/2012,161.9,163,161.9,163,673960,37103934,161.8
SECB,11/12/2012,160.5,162.1,160.5,161.8,456030,-23692246,163
SECB,11/13/2012,162.4,162.4,161.8,162,423150,-35613958,161.8
SECB,11/14/2012,162,162.1,161.7,161.9,542800,-62133897,162
SECB,11/15/2012,162,162,151.4,153.5,2394800,-294295114,161.9
SECB,11/16/2012,154,156,153.5,155.1,1835900,-51393814,153.5
SECB,11/19/2012,155,158,155,157,505290,-18289292,155.1
SECB,11/20/2012,157.2,162.5,157.2,161,1026530,-21264951,157
SECB,11/21/2012,161,168,161,164,1233830,80105983,161
SECB,11/22/2012,164.7,165,163.4,164,784290,47219770,164
SECB,11/23/2012,165,165,160.8,160.8,151710,-8812926,164
SECB,11/26/2012,160.8,162,160.8,162,1083480,12584845,160.8
SECB,11/27/2012,162,163.9,160.8,163.6,541730,42850907,162
SECB,11/28/2012,163.5,164,163.4,164,396240,28234682,163.6
