symbol,date,open,high,low,close,volume,nfbs,previous_close
SMC,10/08/2012,109.9,110,109.6,110,187200,5489848,0
SMC,10/09/2012,110,110.1,109.4,109.8,442160,-6066528,110
SMC,10/10/2012,109.5,109.6,109,109.4,279020,-12888087,109.8
SMC,10/11/2012,109.4,109.4,108.9,109.4,291680,-10476,109.4
SMC,10/12/2012,109.4,110,109.3,110,201660,10498049,109.4
SMC,10/15/2012,110,110,109.7,110,138180,4348914,110
SMC,10/16/2012,109.7,110.2,109.6,110,387400,34298440,110
SMC,10/17/2012,110,110,109.8,110,367280,23496973,110
SMC,10/18/2012,110,110,109.6,110,313390,15403889,110
SMC,10/19/2012,110,110,109.6,110,312310,-1723784,110
SMC,10/22/2012,109.6,110,109.5,110,324950,10279974,110
SMC,10/23/2012,110,110,109.5,110,304780,11613370,110
SMC,10/24/2012,110,110,109.7,110,204800,12873483,110
SMC,10/25/2012,110,110.2,109.8,110.2,427320,37603303,110
SMC,10/29/2012,110.2,110.2,109.8,110.2,675450,62187764,110.2
SMC,10/30/2012,110.2,110.2,109.8,110,192630,5009218,110.2
SMC,10/31/2012,110,110,109.1,109.1,558980,-12037340,110
SMC,11/05/2012,109.1,109.4,108.5,109.4,736650,28944468,109.1
SMC,11/06/2012,110,110,109.2,109.5,742190,27108346,109.4
SMC,11/07/2012,109.5,109.5,108.6,109.5,350330,-2095893,109.5
SMC,11/08/2012,109.3,109.3,108.6,109,440080,18121341,109.5
SMC,11/09/2012,109,109,108.5,109,247910,7236921,109
SMC,11/12/2012,109,109,108.5,109,204860,259642,109
SMC,11/13/2012,109,109.3,108.9,109.2,324630,14961535,109
SMC,11/14/2012,109.3,109.3,108.9,109.2,549950,34854631,109.2
SMC,11/15/2012,109,109.1,108.7,109.1,470740,28418882,109.2
SMC,11/16/2012,109,109,108.4,108.6,348390,16502736,109.1
SMC,11/19/2012,108.7,109,108.5,109,377610,5935064,108.6
SMC,11/20/2012,108.8,109,108.8,109,223590,4971745,109
SMC,11/21/2012,108.9,109.2,108.8,109.2,301390,11946721,109
SMC,11/22/2012,109.2,109.2,108.9,109.2,208450,8113293,109.2
SMC,11/23/2012,109.2,109.2,108.9,109.1,365630,17679830,109.2
SMC,11/26/2012,109,109.2,108.8,109.2,295920,8441302,109.1
SMC,11/27/2012,109.2,109.2,108.9,109.1,320510,4897900,109.2
SMC,11/28/2012,109,109,108.6,109,263600,1281441,109.1
SMC,11/29/2012,109,109,108.5,109,674720,3079346,109
SMC,12/03/2012,109.2,109.2,108.6,108.9,327360,-4095635,109
SMC,12/04/2012,108.8,109,108.5,109,767240,-25433163,108.9
SMC,12/05/2012,109,109,108.6,108.7,292410,10191,109
SMC,12/06/2012,108.7,108.8,108.2,108.4,518710,10503222,108.7
SMC,12/07/2012,108.4,108.7,108.2,108.6,744190,23666569,108.4
SMC,12/10/2012,108.6,108.6,107.9,108.1,713540,-13225252,108.6
SMC,12/11/2012,108,108.5,107.7,108,668030,-15713446,108.1
SMC,12/12/2012,107.9,108,107,107,825470,-4512630,108
SMC,12/13/2012,106.8,106.9,105.6,106.4,564020,-3461044,107
SMC,12/14/2012,106.2,106.2,105.7,105.9,520970,-6110644,106.4
SMC,12/17/2012,105.8,106,100,101,1324400,-34444461,105.9
SMC,12/18/2012,103,103.4,101.9,102.8,427970,3064097,101
SMC,12/19/2012,103,103,102.5,103,647760,4590897,102.8
SMC,12/20/2012,103,103,102.4,102.8,322890,501780,103
SMC,12/21/2012,102.6,102.8,102.4,102.8,997540,14210996,102.8
SMC,12/26/2012,102.8,102.9,102.5,102.8,202760,5116090,102.8
SMC,12/27/2012,102.9,103,102.3,103,141290,3002948,102.8
SMC,12/28/2012,106,106,104,105.4,683930,42749194,103
SMC,01/02/2013,104.5,105,103.2,105,101000,4943038,105.4
SMC,01/03/2013,105,105.8,105,105.8,204270,6560923,105
SMC,01/04/2013,106,106,105,105.4,540640,2496632,105.8
SMC,01/07/2013,105.4,109.2,105.4,108.7,1396210,47893246,105.4
SMC,01/08/2013,108.7,109,108,109,590220,18748250,108.7
SMC,01/09/2013,109.5,109.6,108.9,109.3,581590,21476053,109
SMC,01/10/2013,109.3,109.5,106,106,529900,-2409610,109.3
SMC,01/11/2013,106,108.9,106,108.9,246410,18417179,106
SMC,01/14/2013,108.9,109.3,108.5,108.8,479910,44785726,108.9
SMC,01/15/2013,108.8,109.1,108.3,108.6,695010,47208731,108.8
SMC,01/16/2013,108.5,108.5,107.3,107.5,371910,25917779,108.6
SMC,01/17/2013,107.5,107.5,105.6,106.3,534460,20639255,107.5
SMC,01/18/2013,106,106.1,105.6,106,327610,10499833,106.3
SMC,01/21/2013,106.1,106.3,105.4,106.1,465610,8464974,106
SMC,01/22/2013,106.2,106.2,105,105.9,269810,3070010,106.1
SMC,01/31/2013,115,115.3,110,112,2648530,72042914,105.9
SMC,02/01/2013,112.3,112.5,111.9,112.5,1567260,64599983,112
SMC,02/04/2013,112.6,117.7,112.6,117.7,2308320,62529319,112.5
SMC,02/05/2013,117,117.5,115.8,117,590140,19368507,117.7
SMC,02/06/2013,117,118.9,117,117.1,1266940,41761403,117
SMC,02/07/2013,117.2,118.4,117.2,118.4,1343470,98319035,117.1
SMC,02/08/2013,118.5,118.9,118.3,118.4,837360,42606403,118.4
SMC,02/11/2013,118.4,119.6,118.4,119.6,663980,31181283,118.4
SMC,02/12/2013,119.9,119.9,119.4,119.6,414700,28399936,119.6
SMC,02/13/2013,119.6,119.7,119,119.6,514090,22602270,119.6
SMC,02/14/2013,119.6,122.5,119.5,122.5,2211100,79871551,119.6
SMC,02/15/2013,121.9,125,121.9,124.7,1873300,-3976623,122.5
SMC,02/18/2013,124.1,124.6,124.1,124.3,730500,22222673,124.7
SMC,02/19/2013,124.1,124.3,121.7,123.3,593160,12937141,124.3
SMC,02/20/2013,123.3,123.5,119,120.6,638920,13719613,123.3
SMC,02/21/2013,120,120.1,118.4,119.6,553890,25643988,120.6
SMC,02/22/2013,119.7,120,118.1,120,566340,38179130,119.6
SMC,02/25/2013,120,123,120,123,616670,34780834,120
SMC,02/26/2013,122.9,122.9,120,121,348580,17802906,123
SMC,02/27/2013,121,122,121,122,593350,42411095,121
SMC,02/28/2013,122.7,123.9,121,123.9,981220,80194249,122
SMC,03/01/2013,123.8,123.8,120.5,121.4,613340,-16730654,123.9
SMC,03/04/2013,121.4,121.6,120,121.3,930490,2886048,121.4
SMC,03/05/2013,120.5,120.5,119.9,120,795320,-9504070,121.3
SMC,03/06/2013,120.1,121.3,120.1,121,335540,-464788,120
SMC,03/07/2013,120.9,122,120.2,121.5,871050,8766843,121
SMC,03/08/2013,120.9,123.1,120.9,122,737540,51692163,121.5
SMC,03/11/2013,122,122,115,115,1582840,788560,122
SMC,03/12/2013,115.8,117.3,115,115,673170,-17061237,115
SMC,03/13/2013,115.2,115.2,114,114.5,697100,-3753740,115
SMC,03/14/2013,115,115.6,113.8,115,1042180,-4280493,114.5
SMC,03/15/2013,115,119.9,114.2,119.9,1706340,139503156,115
SMC,03/18/2013,119,119.6,118,119.6,1025200,42573913,119.9
SMC,03/19/2013,119.5,119.5,115.5,115.5,524270,-12495933,119.6
SMC,03/20/2013,115.5,118.5,114.8,116.1,575170,27534583,115.5
SMC,03/21/2013,116.2,117.1,116.1,116.1,393440,-387232,116.1
SMC,03/22/2013,117,118,114.5,114.5,210030,-9669264,116.1
SMC,03/25/2013,114.6,115.9,114.6,115.9,501160,12739347,114.5
SMC,03/26/2013,115.9,116,114.8,115.1,1008350,-41432603,115.9
SMC,03/27/2013,116.8,117.5,115.1,115.5,826470,8083368,115.1
SMC,04/01/2013,115.6,118,115.5,117,769390,10663917,115.5
SMC,04/02/2013,117,117,115.7,116,799520,23774754,117
SMC,04/03/2013,116.5,116.5,115.8,116,812450,13297041,116
SMC,04/04/2013,116.5,117,116.3,116.5,708550,32858144,116
SMC,04/05/2013,117,117.4,117,117.1,1301820,122625634,116.5
SMC,04/08/2013,117,118.2,116.8,118,861410,6680355,117.1
SMC,04/10/2013,118.5,122.5,118.5,121,1717340,42611586,118
SMC,04/11/2013,122.8,123.2,122,122.4,1174440,35047590,121
SMC,04/12/2013,122.4,124,122.4,124,1524980,98707006,122.4
SMC,04/15/2013,124,124,122,122,1404490,19817626,124
SMC,04/16/2013,121.8,123,120.5,122,753400,36400585,122
SMC,04/17/2013,122,123,122,122.3,827610,-13866038,122
SMC,04/18/2013,122.4,122.4,120.8,120.9,811620,27298594,122.3
SMC,04/19/2013,120.9,122.5,120.9,122,350040,30789774,120.9
SMC,04/22/2013,123,125,122.9,125,1158520,90622979,122
SMC,04/23/2013,124,124.5,123,124.3,344460,10134917,125
SMC,04/24/2013,124.3,124.3,122,124,252570,10400704,124.3
SMC,04/25/2013,123,123.1,122,122.9,321710,16586458,124
SMC,04/26/2013,122.9,123.9,122.6,122.6,390140,23239819,122.9
SMC,04/29/2013,122.6,122.6,120.1,120.7,380110,-10773698,122.6
SMC,04/30/2013,120.9,121.7,120.1,121,424910,24612141,120.7
SMC,05/02/2013,121,122.5,120.8,122.5,443160,35809659,121
SMC,05/03/2013,122.9,123.5,121.9,122,425020,18800899,122.5
SMC,05/06/2013,122,122,121,121,208010,4367268,122
SMC,05/07/2013,122,123.5,122,123.5,855170,85564184,121
SMC,05/08/2013,123.5,123.7,122.8,123.3,271480,27498718,123.5
SMC,05/09/2013,122,123,122,122.2,445400,18210177,123.3
SMC,05/10/2013,122.2,123,122.1,123,295720,9860495,122.2
SMC,05/14/2013,122.9,122.9,121.5,122.9,392800,32103388,123
SMC,05/15/2013,122.4,123,122.4,123,528630,55303410,122.9
SMC,05/16/2013,120.8,120.8,116,116.3,1677970,-24444523,123
SMC,05/17/2013,116.9,117,115,115,826580,-37497632,116.3
SMC,05/20/2013,115,116.8,114.2,114.2,408960,-4798386,115
SMC,05/21/2013,114.5,114.9,113.3,113.7,1101070,-22138155,114.2
SMC,05/22/2013,114,114.9,113.3,113.3,500200,-20236630,113.7
