,symbol,date,open,high,low,close,volume,nfbs,previous_close,log_return,tweet_count,positive_tweets_count,positive_tweets_ratio,favorite_boosted_score,hype_score,target
2,^PSEi,10/10/2012,5394.09,5408.02,5365.17,5369.6,6908518,-518407,5394.9,-0.00470064500642843,16,14,0.875,12.5,16.5,0
3,^PSEi,10/11/2012,5376.19,5384.83,5353.47,5353.47,5582156,-314692,5369.6,-0.0030084690608002057,11,11,1.0,12.0,12.0,0
4,^PSEi,10/12/2012,5353.71,5372.68,5353.71,5369.72,27489636,-12742649,5353.47,0.003030816844459744,24,23,0.9583333333333334,24.5,26.5,1
5,^PSEi,10/15/2012,5366.92,5383.22,5360.91,5383.22,9100097,-515539,5369.72,0.002510942513012327,23,23,1.0,23.0,23.0,1
6,^PSEi,10/16/2012,5383.9,5406.02,5383.9,5399.94,7155385,-410688,5383.22,0.0031011342500213614,14,14,1.0,14.5,14.5,1
7,^PSEi,10/17/2012,5400.53,5445.95,5400.53,5438.38,7321544,462862,5399.94,0.0070933800033425145,16,11,0.6875,5.5,16.5,1
8,^PSEi,10/18/2012,5445.3,5452.02,5428.73,5435.94,6426984,305631,5438.38,-0.00044876370034163264,39,36,0.9230769230769231,34.0,40.0,0
9,^PSEi,10/19/2012,5435.94,5460.92,5424.52,5432.36,6492119,-78393,5435.94,-0.0006587967077611614,25,23,0.92,22.0,27.0,0
10,^PSEi,10/22/2012,5432.28,5432.28,5403.3,5424.79,7695135,2383717,5432.36,-0.0013944729927632081,11,11,1.0,11.0,11.0,0
11,^PSEi,10/23/2012,5424.05,5442.94,5424.05,5432.32,5783052,321637,5424.79,0.0013871096833975105,30,29,0.9666666666666667,30.0,32.0,1
12,^PSEi,10/24/2012,5425.12,5425.43,5385.71,5398.69,5669552,-292450,5432.32,-0.006209967135969227,24,22,0.9166666666666666,21.5,25.5,0
13,^PSEi,10/25/2012,5403.39,5415.14,5383.9,5405.16,5235453,-115019,5398.69,0.001197721325907772,32,24,0.75,17.5,33.5,1
14,^PSEi,10/29/2012,5404.79,5420.74,5394.82,5397.42,5214131,55848,5405.16,-0.0014329912529199324,16,15,0.9375,17.0,19.0,0
15,^PSEi,10/30/2012,5394.09,5426.67,5393.99,5426.67,6259078,624864,5397.42,0.005404624536429125,12,10,0.8333333333333334,8.5,12.5,1
16,^PSEi,10/31/2012,5426.67,5447.73,5422.15,5424.51,6346782,570534,5426.67,-0.00039811339016198206,27,25,0.9259259259259259,24.5,28.5,0
17,^PSEi,11/05/2012,5428.26,5483.93,5428.26,5457.82,8653119,711061,5424.51,0.00612186986254723,6,6,1.0,6.0,6.0,1
18,^PSEi,11/06/2012,5459.74,5477.57,5458.48,5473.61,8372705,802878,5457.82,0.0028889195616226267,35,33,0.9428571428571428,34.0,40.0,1
19,^PSEi,11/07/2012,5467.06,5467.5,5425.9,5437.29,9014363,367384,5473.61,-0.006657587211368878,33,31,0.9393939393939394,29.5,33.5,0
20,^PSEi,11/08/2012,5437.08,5446.71,5402.4,5446.71,6457377,-110826,5437.29,0.0017309816891021195,22,20,0.9090909090909091,19.5,23.5,1
21,^PSEi,11/09/2012,5445.88,5468.79,5427.86,5468.79,6651620,181473,5446.71,0.004045628714301207,29,27,0.9310344827586207,26.0,31.0,1
22,^PSEi,11/12/2012,5466.36,5488.92,5466.36,5470.7,5412223,163859,5468.79,0.0003491936131223576,23,20,0.8695652173913043,17.0,23.0,1
23,^PSEi,11/13/2012,5471.25,5481.73,5455.18,5455.92,4771546,346052,5470.7,-0.0027053213188113893,23,20,0.8695652173913043,18.5,25.5,0
24,^PSEi,11/14/2012,5467.6,5484.71,5451.09,5451.09,6191351,60409,5455.92,-0.0008856689992444277,31,30,0.967741935483871,30.0,32.0,0
25,^PSEi,11/15/2012,5451.09,5457.3,5406.07,5414.82,6458078,-86825,5451.09,-0.006675949774589188,58,54,0.9310344827586207,53.5,63.5,0
26,^PSEi,11/16/2012,5414.82,5439.28,5412.69,5439.28,5979343,-470272,5414.82,0.004507060264021448,30,27,0.9,25.0,32.0,1
27,^PSEi,11/19/2012,5436.67,5449.89,5434.97,5449.55,10039298,-15628,5439.28,0.0018863372915702778,8,7,0.875,6.0,8.0,1
28,^PSEi,11/20/2012,5453.98,5510.0,5451.61,5500.58,6829118,372909,5449.55,0.009320504765118504,49,43,0.8775510204081632,39.0,51.0,1
29,^PSEi,11/21/2012,5505.34,5553.57,5505.34,5534.18,14779578,6004132,5500.58,0.006089865813491248,77,73,0.948051948051948,73.0,83.0,1
30,^PSEi,11/22/2012,5538.26,5579.18,5513.37,5513.37,6683168,284569,5534.18,-0.0037673555879750627,36,36,1.0,39.0,39.0,0
31,^PSEi,11/23/2012,5513.84,5552.99,5513.84,5552.34,5750120,15999,5513.37,0.007043409073087969,39,35,0.8974358974358975,33.0,42.0,1
32,^PSEi,11/26/2012,5555.79,5585.09,5555.79,5579.42,6469219,170441,5552.34,0.004865367815933746,13,13,1.0,13.0,13.0,1
33,^PSEi,11/27/2012,5579.42,5615.62,5579.42,5586.45,6166626,40537,5579.42,0.0012591944790473944,18,18,1.0,18.0,18.0,1
34,^PSEi,11/28/2012,5584.4,5636.33,5575.38,5633.72,8655806,-260437,5586.45,0.008425947141095168,16,16,1.0,17.5,17.5,1
35,^PSEi,11/29/2012,5633.82,5650.1,5613.35,5640.45,11012839,-678998,5633.72,0.0011938796025574533,34,31,0.9117647058823529,30.0,36.0,1
36,^PSEi,12/03/2012,5622.73,5672.7,5613.97,5672.7,10742859,110353,5640.45,0.00570134531196884,7,7,1.0,7.0,7.0,1
37,^PSEi,12/04/2012,5663.94,5706.28,5663.94,5706.28,8290268,481848,5672.7,0.005902127867383881,33,32,0.9696969696969697,32.5,36.5,1
38,^PSEi,12/05/2012,5704.42,5705.63,5679.67,5687.72,9812211,3344953,5706.28,-0.0032578578928833604,28,28,1.0,28.5,28.5,0
39,^PSEi,12/06/2012,5694.75,5777.24,5694.75,5763.64,11448545,293106,5687.72,0.01325975471178987,27,26,0.9629629629629629,29.0,31.0,1
40,^PSEi,12/07/2012,5766.3,5797.93,5756.51,5794.2,8666954,268348,5763.64,0.005288197659352758,54,50,0.9259259259259259,51.0,60.0,1
41,^PSEi,12/10/2012,5791.14,5793.93,5732.58,5757.54,5886326,4187,5794.2,-0.00634711707038535,10,10,1.0,10.0,10.0,0
42,^PSEi,12/11/2012,5759.16,5831.5,5759.16,5831.5,7084573,290333,5757.54,0.012763957000562846,24,23,0.9583333333333334,23.0,25.0,1
43,^PSEi,12/12/2012,5831.68,5859.54,5819.79,5819.79,8547910,-266915,5831.5,-0.0020100785308359765,32,31,0.96875,31.0,33.0,0
44,^PSEi,12/13/2012,5821.39,5866.83,5773.03,5787.95,7410665,-111492,5819.79,-0.005486008448749877,38,38,1.0,43.5,43.5,0
45,^PSEi,12/14/2012,5786.6,5786.6,5700.58,5707.11,12766446,5991263,5787.95,-0.01406540422547968,31,29,0.9354838709677419,28.0,33.0,0
46,^PSEi,12/17/2012,5707.33,5732.48,5623.85,5623.85,9415354,254799,5707.11,-0.014696283199476764,4,3,0.75,2.0,4.0,0
47,^PSEi,12/18/2012,5624.17,5688.69,5604.19,5636.59,11553334,46594,5623.85,0.0022627899861753804,22,20,0.9090909090909091,18.5,22.5,1
48,^PSEi,12/19/2012,5637.05,5752.39,5637.05,5752.39,8782112,41919,5636.59,0.020336147893136158,27,27,1.0,31.0,31.0,1
49,^PSEi,12/20/2012,5751.57,5802.26,5749.94,5797.74,8775361,2375866,5752.39,0.0078527658209199,35,34,0.9714285714285714,36.0,38.0,1
50,^PSEi,12/21/2012,5797.76,5860.12,5785.85,5823.94,7983770,333330,5797.74,0.0045088221988578425,23,20,0.8695652173913043,17.5,23.5,1
51,^PSEi,12/26/2012,5826.53,5855.26,5822.95,5832.83,3494069,111051,5823.94,0.0015252941807320096,7,7,1.0,7.0,7.0,1
52,^PSEi,12/27/2012,5835.62,5849.97,5794.89,5794.89,4594053,163847,5832.83,-0.006525808093621447,20,20,1.0,20.0,20.0,0
53,^PSEi,12/28/2012,5810.4,5848.32,5810.22,5812.73,7868423,2382570,5794.89,0.00307384529245515,23,20,0.8695652173913043,18.0,24.0,1
54,^PSEi,01/02/2013,5810.47,5860.99,5808.94,5860.99,4350154,199623,5812.73,0.008268191276274046,8,8,1.0,8.0,8.0,1
55,^PSEi,01/03/2013,5861.82,5960.74,5861.82,5934.05,7528750,806499,5860.99,0.012388416553325602,35,32,0.9142857142857143,31.0,38.0,1
56,^PSEi,01/04/2013,5949.34,5971.45,5948.3,5971.45,7588745,1248581,5934.05,0.006282831133025163,42,41,0.9761904761904762,47.5,49.5,1
57,^PSEi,01/07/2013,5972.81,6044.91,5972.81,6044.91,8511541,1724629,5971.45,0.012226816632749521,2,2,1.0,2.0,2.0,1
58,^PSEi,01/08/2013,6046.75,6055.42,6024.05,6048.9,7470373,558385,6044.91,0.0006598417115479073,68,67,0.9852941176470589,74.0,77.0,1
59,^PSEi,01/09/2013,6050.19,6095.07,6050.19,6091.18,8544992,451256,6048.9,0.006965385885433646,40,39,0.975,40.0,42.0,1
60,^PSEi,01/10/2013,6091.18,6098.14,5999.89,6018.57,8437874,235027,6091.18,-0.011992133640403274,26,23,0.8846153846153846,22.0,28.0,0
61,^PSEi,01/11/2013,6034.16,6057.48,6034.08,6051.75,9434064,616143,6018.57,0.005497796839555678,31,30,0.967741935483871,29.5,31.5,1
62,^PSEi,01/14/2013,6066.02,6115.18,6066.02,6093.9,9277873,-922844,6051.75,0.006940784431093477,7,7,1.0,7.0,7.0,1
63,^PSEi,01/15/2013,6093.9,6140.72,6071.32,6087.67,9069422,178040,6093.9,-0.0010228567488707193,42,41,0.9761904761904762,42.5,44.5,0
64,^PSEi,01/16/2013,6087.53,6104.54,6037.01,6037.01,7014262,-268212,6087.67,-0.008356557832013957,35,30,0.8571428571428571,27.5,37.5,0
65,^PSEi,01/17/2013,6054.3,6076.95,6048.99,6072.18,7324062,43103,6037.01,0.0058088276579237085,38,32,0.8421052631578947,26.0,40.0,1
66,^PSEi,01/18/2013,6070.79,6150.62,6070.79,6139.21,9337878,1038098,6072.18,0.010978385463229882,35,33,0.9428571428571428,35.0,39.0,1
67,^PSEi,01/21/2013,6164.86,6193.25,6164.46,6171.7,6144614,181894,6139.21,0.005278257323124948,8,8,1.0,8.0,8.0,1
68,^PSEi,01/22/2013,6171.67,6176.12,6103.17,6104.9,6683371,-271453,6171.7,-0.01088259929694175,24,23,0.9583333333333334,24.5,26.5,0
69,^PSEi,01/23/2013,6104.88,6104.88,6068.44,6092.53,12829709,3977925,6104.9,-0.002028296820040863,21,19,0.9047619047619048,17.0,21.0,0
70,^PSEi,01/24/2013,6092.25,6124.9,6092.25,6117.27,5971265,149396,6092.53,0.004052487978188005,52,48,0.9230769230769231,46.0,54.0,1
71,^PSEi,01/25/2013,6120.99,6167.64,6120.99,6167.64,8889659,-106391,6117.27,0.008200350228645327,33,29,0.8787878787878788,25.5,34.5,1
72,^PSEi,01/28/2013,6167.64,6192.42,6165.08,6192.42,9062649,720757,6167.64,0.004009694645550404,8,8,1.0,8.0,8.0,1
73,^PSEi,01/29/2013,6192.42,6254.04,6192.42,6234.73,10131744,1301501,6192.42,0.00680931082045003,28,27,0.9642857142857143,29.0,32.0,1
74,^PSEi,01/30/2013,6235.85,6320.6,6235.85,6271.23,9578152,745705,6234.73,0.005837233389446685,43,39,0.9069767441860465,38.0,46.0,1
75,^PSEi,01/31/2013,6320.74,6332.27,6240.73,6242.74,12444369,1915835,6271.23,-0.004553319086253701,41,38,0.926829268292683,40.0,46.0,0
76,^PSEi,02/01/2013,6253.86,6342.72,6253.84,6318.61,11625305,949222,6242.74,0.012080058692160446,20,19,0.95,20.5,22.5,1
77,^PSEi,02/04/2013,6349.08,6449.44,6349.08,6435.98,11181556,1984657,6318.61,0.018404874344828973,9,9,1.0,9.0,9.0,1
78,^PSEi,02/05/2013,6426.86,6479.31,6407.44,6470.49,9567872,1280738,6435.98,0.005347718197663803,38,35,0.9210526315789473,35.0,41.0,1
79,^PSEi,02/06/2013,6479.53,6486.45,6431.35,6431.35,10781513,474647,6470.49,-0.0060673702466626555,33,30,0.9090909090909091,27.5,33.5,0
80,^PSEi,02/07/2013,6433.31,6459.99,6433.31,6459.99,8453220,138648,6431.35,0.004443300249585554,38,37,0.9736842105263158,41.0,43.0,1
81,^PSEi,02/08/2013,6461.19,6489.9,6453.4,6458.67,7842409,689144,6459.99,-0.00020435556080794574,47,45,0.9574468085106383,51.5,55.5,0
82,^PSEi,02/11/2013,6458.34,6500.08,6458.01,6458.01,5880983,-42802,6458.67,-0.00010219344298596879,8,8,1.0,8.0,8.0,0
83,^PSEi,02/12/2013,6459.21,6477.82,6455.0,6459.93,4974790,189994,6458.01,0.0002972610205867183,16,15,0.9375,14.0,17.0,1
84,^PSEi,02/13/2013,6465.37,6531.79,6464.54,6527.99,8033669,798403,6459.93,0.010480603975398472,17,17,1.0,18.5,18.5,1
85,^PSEi,02/14/2013,6528.42,6542.51,6497.54,6513.41,7927817,152888,6527.99,-0.002235957193920479,22,22,1.0,23.5,23.5,0
