,high,low,volume,nfbs,tweet_count,positive_tweets_ratio,favorite_boosted_score,hype_score,target,predicted,date
1494,7488.24,7425.66,11904455,-984701,72,0.9444444444444444,75.5,88.5,1,1,12/12/2018
1495,7556.24,7513.56,6093320,324835,75,0.9333333333333333,116.0,126.0,1,1,12/13/2018
1496,7559.27,7503.09,6846972,-691234,68,0.9558823529411765,195.5,218.5,1,0,12/14/2018
1497,7538.14,7490.56,5935949,-822246,44,0.9318181818181818,49.0,55.0,0,0,12/17/2018
1498,7482.21,7397.23,8497816,-652153,108,0.9444444444444444,134.0,152.0,0,0,12/18/2018
1499,7579.62,7406.53,5969155,-72978,170,0.9058823529411765,331.0,388.0,1,0,12/19/2018
1500,7584.44,7498.19,5881257,-490560,157,0.9235668789808917,186.5,230.5,0,0,12/20/2018
1501,7548.13,7452.24,7095248,-480628,146,0.9315068493150684,296.0,329.0,0,0,12/21/2018
1502,7453.22,7378.88,3388926,-766428,31,0.967741935483871,41.0,43.0,0,0,12/26/2018
1503,7514.33,7447.22,5162592,-328304,42,0.7380952380952381,84.5,122.5,1,0,12/27/2018
1504,7507.29,7466.02,5665117,-197997,94,0.8936170212765957,138.5,173.5,0,1,12/28/2018
1505,7540.26,7465.76,3355990,-4576,14,0.9285714285714286,13.5,15.5,1,1,01/02/2019
1506,7680.6,7490.28,7164035,196718,58,0.8793103448275862,62.0,85.0,1,1,01/03/2019
1507,7801.5,7657.18,9042454,1018544,64,0.921875,120.0,131.0,1,1,01/04/2019
1508,7900.7,7787.66,8408604,1224724,38,0.9473684210526315,40.0,44.0,1,1,01/07/2019
1509,7826.08,7702.12,6032433,152328,82,0.9634146341463414,229.5,240.5,0,1,01/08/2019
1510,7919.67,7765.91,10170151,1371007,58,0.9482758620689655,53.5,79.5,1,1,01/09/2019
1511,7992.33,7898.63,10111606,1503457,64,0.96875,161.5,166.5,1,1,01/10/2019
1512,7965.44,7855.69,8501027,228902,76,0.9342105263157895,155.5,174.5,0,1,01/11/2019
1513,8024.14,7818.95,6796212,985886,19,1.0,25.0,25.0,1,1,01/14/2019
1514,8027.92,7976.43,6518900,258980,47,0.851063829787234,116.0,137.0,0,1,01/15/2019
1515,7990.65,7848.7,20148734,-1193460,58,0.9137931034482759,103.0,115.0,0,0,01/16/2019
1516,7937.98,7865.13,14165135,3845260,95,0.8947368421052632,94.0,196.0,1,0,01/17/2019
1517,8057.57,7919.5,8435318,1296506,118,0.8813559322033898,130.0,180.0,1,1,01/18/2019
1518,8143.61,8042.2,9130034,2271523,29,0.8275862068965517,20.0,30.0,1,1,01/28/2019
1519,8087.39,8014.94,8213697,795762,74,0.918918918918919,107.5,123.5,0,1,01/29/2019
1520,8046.95,7912.16,9621250,843946,59,0.9661016949152542,63.0,67.0,0,0,01/30/2019
1521,8099.23,7999.41,10811488,818647,68,0.8676470588235294,74.0,93.0,1,1,01/31/2019
1522,8165.66,8038.65,8972370,1019369,33,0.9696969696969697,38.5,40.5,1,1,02/01/2019
1523,8148.88,8068.74,7322588,1009342,24,0.9166666666666666,21.0,30.0,0,1,02/04/2019
1524,8213.71,8058.45,7315043,947166,42,0.8809523809523809,33.5,43.5,0,1,02/06/2019
1525,8127.08,8087.73,7418367,610585,82,0.975609756097561,92.0,96.0,1,1,02/07/2019
1526,8096.47,8035.84,7807361,272659,59,0.9830508474576272,80.0,82.0,0,1,02/08/2019
1527,8105.58,8061.54,6001969,82143,34,0.9411764705882353,59.0,63.0,0,1,02/11/2019
1528,8083.53,7984.42,7237092,260338,88,0.8977272727272727,114.0,137.0,0,1,02/12/2019
1529,8040.43,7889.46,7268763,-246033,80,0.925,104.0,118.0,0,1,02/13/2019
1530,7996.21,7920.62,5112454,251895,103,0.9223300970873787,117.0,151.0,1,0,02/14/2019
1531,7999.84,7908.89,16391332,-489937,84,0.9404761904761905,157.0,171.0,0,0,02/15/2019
1532,7964.05,7910.58,11074067,549034,25,0.88,38.5,44.5,1,1,02/18/2019
1533,7938.79,7830.63,8101838,-289388,73,0.8904109589041096,48.5,121.5,0,0,02/19/2019
1534,7944.59,7848.47,7795800,88434,72,0.9305555555555556,118.0,130.0,1,1,02/20/2019
1535,7946.66,7892.58,6999497,522093,74,0.9054054054054054,90.0,115.0,0,1,02/21/2019
1536,7962.13,7894.56,8014816,17623,84,0.9285714285714286,102.5,114.5,1,1,02/22/2019
1537,7996.15,7945.03,10927222,1214274,55,0.9272727272727272,54.5,62.5,1,1,02/26/2019
1538,7972.69,7877.63,7430120,-250662,71,0.971830985915493,97.0,101.0,0,1,02/27/2019
1539,7919.99,7705.49,17584175,3724140,71,0.8591549295774648,62.5,89.5,0,0,02/28/2019
1540,7754.45,7587.99,8472549,-1643568,70,0.8285714285714286,54.0,93.0,0,0,03/01/2019
1541,7698.44,7595.92,6207319,80522,42,0.9047619047619048,38.0,46.0,1,1,03/04/2019
1542,7734.71,7667.14,6624980,-1275257,73,0.7808219178082192,53.5,97.5,0,0,03/05/2019
1543,7821.34,7674.56,6008268,272890,86,0.9069767441860465,85.0,118.0,1,1,03/06/2019
1544,7881.79,7795.21,5843805,565236,62,0.9516129032258065,87.0,94.0,1,1,03/07/2019
1545,7884.46,7797.11,5302989,60085,121,0.8677685950413223,143.0,184.0,0,1,03/08/2019
1546,7823.8,7708.72,5481917,-273476,56,0.9285714285714286,36.0,76.0,0,0,03/11/2019
1547,7773.61,7728.22,5702492,-348844,112,0.9017857142857143,161.0,187.0,1,0,03/12/2019
1548,7766.15,7724.79,5136291,-110505,126,0.9365079365079365,186.0,204.0,1,0,03/13/2019
1549,7763.97,7718.77,5599077,322874,121,0.9173553719008265,116.5,139.5,0,0,03/14/2019
1550,7798.28,7701.74,20792873,1811487,150,0.8333333333333334,153.5,215.5,1,1,03/15/2019
